,0
App,0
Category,0
Rating,40
Reviews,0
Size,0
Installs,0
Type,0
Price,0
Content Rating,0
Genres,0
Last Updated,0
Current Ver,0
Android Ver,0
Translated_Review,50057
Sentiment,50047
Sentiment_Polarity,50047
Sentiment_Subjectivity,50047
